Team,Season,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HER%,DRA@15,TD@15,GD@15,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Liiv SANDBOX,S12,99,0.455,0.85,1744,-90,1906,11.0,12.9,5.3,6.5,0.465,0.343,2.41,0.531,0.374,1.09,-0.2,-1172,0.65,0.47,32.5,1878,3.3,1.28,1.63
Nongshim RedForce,S12,87,0.345,0.83,1726,-113,2048,10.7,13.0,5.1,7.3,0.529,0.517,2.25,0.452,0.489,0.86,0.0,-139,0.48,0.32,32.4,1831,3.6,1.6,1.59
T1,S12,102,0.745,1.33,1898,193,1960,13.9,10.5,7.8,4.1,0.578,0.716,2.36,0.533,0.662,0.68,0.4,1368,0.97,0.698,33.4,2079,3.6,1.39,1.63
BRION,S13,89,0.315,0.74,1716,-147,1967,8.3,11.3,4.4,7.4,0.506,0.404,1.91,0.397,0.494,0.83,-0.2,-660,0.6,0.406,33.5,1850,3.0,1.48,1.85
Dplus KIA,S13,95,0.611,1.37,1838,94,1910,12.4,9.1,6.4,4.8,0.589,0.526,2.76,0.624,0.537,1.17,0.1,883,0.81,0.596,33.7,2238,3.4,1.53,1.67
DRX,S13,93,0.301,0.62,1697,-196,1862,8.8,14.1,4.1,7.3,0.333,0.355,1.71,0.379,0.441,0.67,-0.1,-1321,0.52,0.32,32.2,1989,3.0,1.43,1.73
Gen.G eSports,S13,109,0.743,1.56,1923,219,1903,14.2,9.1,7.7,4.2,0.624,0.67,2.69,0.613,0.528,0.93,0.2,1079,0.94,0.684,34.7,2248,3.1,1.21,1.88
Hanwha Life eSports,S13,115,0.53,1.02,1822,20,1941,11.1,10.8,6.0,5.8,0.487,0.478,1.95,0.437,0.509,0.8,0.0,41,0.82,0.502,34.2,2054,3.4,1.56,1.68
KT Rolster,S13,118,0.695,1.52,1878,144,1865,13.0,8.5,7.2,4.4,0.551,0.602,2.66,0.619,0.436,1.03,0.1,512,0.81,0.659,34.4,2022,3.2,1.36,1.7
Kwangdong Freecs,S13,83,0.325,0.68,1753,-115,1959,9.0,13.3,5.0,6.9,0.41,0.458,1.93,0.412,0.506,0.73,-0.1,-168,0.37,0.254,34.1,2071,3.0,1.48,1.7
Liiv SANDBOX,S13,91,0.418,0.87,1768,-76,1955,10.8,12.4,5.1,6.5,0.484,0.396,2.11,0.469,0.417,0.98,-0.1,-609,0.65,0.461,33.9,1984,3.3,1.61,1.74
Nongshim RedForce,S13,85,0.259,0.69,1702,-218,1852,9.2,13.2,3.7,7.7,0.424,0.259,1.59,0.351,0.5,0.73,-0.4,-1491,0.44,0.281,32.6,1908,3.2,1.58,1.61
T1,S13,120,0.617,1.1,1874,118,1892,12.7,11.5,7.2,4.6,0.525,0.7,2.53,0.604,0.609,1.06,0.2,928,0.92,0.654,33.6,2241,3.3,1.41,1.64
Dplus KIA,S14,116,0.534,1.19,1855,56,2039,13.5,11.3,6.5,5.9,0.621,0.509,2.28,0.497,0.487,0.78,-0.1,313,0.84,0.554,33.8,2362,3.9,1.48,1.86
DRX,S14,83,0.253,0.64,1714,-214,1916,8.6,13.6,4.1,7.5,0.458,0.349,1.77,0.374,0.542,0.82,-0.2,-844,0.42,0.276,33.6,2118,3.8,1.35,1.73
FearX,S14,91,0.374,0.85,1806,-81,1930,11.4,13.5,5.1,6.5,0.495,0.385,1.93,0.433,0.571,0.8,-0.1,-564,0.6,0.433,34.5,2267,3.9,1.42,1.73
Gen.G eSports,S14,103,0.835,1.63,1979,261,1901,15.3,9.4,8.4,3.8,0.447,0.699,3.01,0.675,0.505,1.1,0.3,1185,0.97,0.728,35.3,2671,3.9,1.38,1.89
Hanwha Life eSports,S14,112,0.696,1.44,1903,151,1914,14.5,10.0,7.0,4.7,0.571,0.634,2.56,0.577,0.616,0.94,0.1,802,0.86,0.641,34.8,2446,3.7,1.33,1.9
KT Rolster,S14,105,0.524,1.11,1821,-6,1974,13.3,12.0,5.8,5.8,0.505,0.562,2.44,0.52,0.548,0.93,0.1,161,0.71,0.488,33.5,2383,3.7,1.52,1.71
Kwangdong Freecs,S14,90,0.433,0.77,1810,-79,1938,11.0,14.2,5.3,6.2,0.344,0.478,2.46,0.532,0.444,0.84,-0.2,-811,0.61,0.403,34.9,2340,3.4,1.21,1.75
Nongshim RedForce,S14,84,0.321,0.69,1758,-171,1933,10.0,14.5,4.6,7.1,0.476,0.333,1.89,0.409,0.321,0.73,-0.2,-1067,0.55,0.347,33.7,2233,3.7,1.45,1.69
OK BRION,S14,82,0.195,0.62,1715,-247,1899,9.4,15.1,3.3,8.2,0.488,0.232,1.4,0.311,0.457,0.76,-0.3,-1277,0.39,0.277,33.5,2159,3.5,1.49,1.73
T1,S14,124,0.621,1.15,1912,139,1944,13.4,11.6,7.0,4.8,0.532,0.645,2.51,0.567,0.467,0.98,0.3,997,0.94,0.652,35.0,2456,3.7,1.27,1.7
