Team,Season,Player
Kwangdong Freecs,S14,Cuzz
Kwangdong Freecs,S14,Bulldog
Kwangdong Freecs,S14,Leaper
Kwangdong Freecs,S14,Andil
Kwangdong Freecs,S14,Taeyoon
Kwangdong Freecs,S14,Bull
Kwangdong Freecs,S14,Quantum
Nongshim RedForce,S14,Mihile
Nongshim RedForce,S14,Sylvie
Nongshim RedForce,S14,Fisher
Nongshim RedForce,S14,Jiwoo
Nongshim RedForce,S14,Vital
Nongshim RedForce,S14,DnDn
Nongshim RedForce,S14,Callme
Nongshim RedForce,S14,FIESTA
Nongshim RedForce,S14,Calix
Nongshim RedForce,S14,Peter
Nongshim RedForce,S14,GuGer
OK BRION,S14,Morgan
OK BRION,S14,YoungJae
OK BRION,S14,FATE
OK BRION,S14,Samver
OK BRION,S14,Pollu
OK BRION,S14,GIDEON
OK BRION,S14,DDoiV
OK BRION,S14,Karis
OK BRION,S14,Pullbae
OK BRION,S14,Envyy
OK BRION,S14,Effort
T1,S14,Zeus
T1,S14,Oner
T1,S14,Faker
T1,S14,Gumayusi
T1,S14,Keria
T1,S14,Guwon
