Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Sangyoon,S7,KR,ADC,91,41.8%,4.2,3,1.8,4.6,9.2,406,69.1%,26.6,493,-,0.36,0.2,0.11,-268,-8,-90,16.5%,2.2%,0,3
Ssol,S7,KR,ADC,52,32.7%,2.8,2.3,2.1,3.5,9.8,404,70.3%,30.7,516,-,0.32,0.25,0.06,-27,1,97,19.2%,11.5%,0,5
Stitch,S7,,ADC,10,50%,3.3,2.1,2,4.4,8.9,390,54.1%,22.4,393,-,0.33,0.25,0.08,-176,-1,-32,0%,20%,0,2
Teddy,S7,KR,ADC,86,40.7%,3.9,2.9,1.9,4.4,9.9,416,65.4%,27.7,521,-,0.43,0.26,0.1,39,3,42,16.3%,5.8%,0,5
Veritas,S7,,ADC,9,33.3%,5,3.1,1.3,3.6,9.6,396,86.4%,31.1,525,-,0.33,0.28,0.06,-13,2,-46,11.1%,11.1%,0,1
CoreJJ,S7,KR,SUPPORT,91,65.9%,4.7,0.6,1.5,6.7,1.1,277,65.7%,10.9,210,-,1.33,0.48,0.36,8,-0,1,17.6%,3.3%,0,1
Ella,S7,,SUPPORT,35,25.7%,2,0.4,2.6,4.9,1.2,247,58.9%,7.3,116,-,1.38,0.33,0.45,-249,1,-240,14.3%,11.4%,0,1
GorillA,S7,KR,SUPPORT,93,58.1%,3.3,0.9,2.5,7.4,1,266,64.8%,10.9,220,-,1.42,0.39,0.37,54,0,184,23.7%,6.5%,0,2
GuGer,S7,KR,SUPPORT,41,26.8%,2.2,0.4,2.7,5.5,0.9,249,65.6%,13.5,234,-,1.58,0.48,0.4,-165,-3,-127,24.4%,9.8%,0,1
KeY,S7,KR,SUPPORT,91,41.8%,2.7,0.6,2.9,7.2,1.2,263,72.1%,10,182,-,1.51,0.58,0.41,-7,1,-218,22%,6.6%,0,-
Mata,S7,KR,SUPPORT,108,63%,4.2,0.7,2.1,8,0.9,269,64.9%,8.5,173,-,1.62,0.45,0.47,128,-1,16,24.1%,7.4%,0,1
Max,S7,KR,SUPPORT,97,41.2%,3.1,1.1,2.4,6.5,1.2,270,66.8%,10,185,-,1.19,0.36,0.24,74,3,270,20.6%,7.2%,0,4
Pure,S7,,SUPPORT,9,33.3%,2.6,0.4,2.3,5.6,1.1,267,72.4%,8.1,129,-,1.27,0.51,0.41,-334,-6,231,11.1%,22.2%,0,-
Secret,S7,KR,SUPPORT,11,54.5%,2.4,0.3,2.3,5.3,1,278,82.8%,6.2,86,-,1.46,0.37,0.38,-121,6,46,18.2%,18.2%,0,-
SnowFlower,S7,KR,SUPPORT,86,40.7%,2.4,0.7,3,6.6,1,258,67.4%,10,188,-,1.41,0.4,0.46,17,-0,-68,22.1%,9.3%,0,3
Totoro,S7,,SUPPORT,99,35.4%,3.3,0.4,1.9,5.9,1,255,64.9%,8.8,152,-,1.47,0.38,0.38,-25,-0,-48,14.1%,8.1%,0,1
TusiN,S7,KR,SUPPORT,108,52.8%,3.3,0.7,2.3,7,1,270,66.2%,9.3,176,-,1.54,0.39,0.39,-10,-0,1,16.7%,12%,0,4
Wolf,S7,KR,SUPPORT,100,70%,4.5,0.7,2,8.1,1,272,67.2%,9.2,184,-,1.27,0.53,0.39,26,-1,39,24%,12%,0,-
Wraith,S7,KR,SUPPORT,9,55.6%,2.6,0.4,2.7,6.6,1,246,50.8%,7.1,121,-,1.36,0.44,0.44,-332,5,-308,11.1%,0%,0,-
ADD,S8,KR,TOP,96,32.3%,2,1.2,2.4,3.6,8.9,377,61.2%,25.9,457,1.41,0.67,0.22,0.2,-80,-5,-181,19.8%,19.8%,0,11
Brook,S8,,TOP,1,0%,3.5,3,2,4,8.8,410,70%,24.4,359,1.49,0.47,0.42,0.1,771,16,-38,100%,0%,0,-
Crazy,S8,KR,TOP,92,29.3%,2.7,1.7,1.8,3,8.7,371,57.3%,25,387,1.19,0.59,0.2,0.17,-92,1,-79,14.1%,13%,0,11
CuVee,S8,KR,TOP,105,57.1%,2.5,1.7,2.1,3.4,9.2,397,60.3%,24,420,1.27,0.58,0.21,0.21,-86,-3,-41,18.1%,11.4%,0,19
Khan,S8,KR,TOP,83,69.9%,3.8,2.4,1.7,4.1,9.6,425,60.7%,26.9,486,1.4,0.67,0.25,0.23,240,7,159,22.9%,12%,1,19
Kiin,S8,KR,TOP,106,61.3%,3.9,2.2,1.5,3.8,9.7,419,61.6%,25.7,433,1.25,0.58,0.2,0.16,147,4,135,19.8%,13.2%,0,23
Lindarang,S8,KR,TOP,90,52.2%,2.6,1.8,2.2,3.9,8.6,386,60%,23.7,412,1.09,0.57,0.13,0.13,22,-4,-134,32.2%,14.4%,0,9
MaHa,S8,,ADC,17,5.9%,1.8,1.1,2.1,2.7,9.6,383,64.5%,25.9,487,1,0.43,0.3,0.12,-222,-9,-487,5.9%,5.9%,0,-
Max,S8,KR,SUPPORT,93,32.3%,2.4,0.5,2.3,4.8,1.9,253,67%,8.6,150,2.25,1.2,0.34,0.31,61,0,257,19.4%,10.8%,0,1
Mong,S8,,TOP,1,0%,1,2,3,1,8.6,364,75%,10.2,137,0.97,0.38,0,0.08,349,-7,-810,100%,0%,0,-
Nuguri,S8,KR,TOP,6,83.3%,4.8,2.5,2,7,9.6,438,66.4%,28.6,563,1.41,0.54,0.19,0.15,270,10,244,16.7%,16.7%,0,-
Rascal,S8,KR,TOP,11,63.6%,5.7,2.6,1.2,4.1,9,419,60%,20.9,391,1.1,0.65,0.16,0.22,455,-1,242,27.3%,0%,0,3
Roach,S8,KR,TOP,51,25.5%,2,1.2,2.1,2.9,9.1,375,50.8%,22.6,362,1.12,0.65,0.19,0.18,-228,-2,-78,7.8%,9.8%,0,10
Smeb,S8,KR,TOP,98,65.3%,4,2.3,1.7,4.4,9.3,411,64.2%,25.2,468,1.25,0.59,0.21,0.14,262,6,210,27.6%,9.2%,0,20
SoHwan,S8,KR,TOP,89,37.1%,2.8,1.2,1.7,3.6,9,378,56%,22,366,1.18,0.58,0.17,0.14,-13,2,-23,19.1%,11.2%,0,12
SoaR,S8,KR,TOP,9,66.7%,5.2,2.2,1.4,5.2,8.7,387,56.5%,23.5,409,1.06,0.48,0.13,0.16,-185,0,-20,0%,11.1%,0,-
Sw0rd,S8,KR,TOP,62,64.5%,4,2.4,1.7,4.2,9.1,400,60%,22.5,396,1.21,0.55,0.2,0.16,-111,-3,56,12.9%,14.5%,0,10
Thal,S8,KR,TOP,76,50%,2.7,1.9,2.1,3.8,9.2,404,58.4%,24.2,451,1.17,0.54,0.16,0.16,-56,-3,7,19.7%,13.2%,0,10
Untara,S8,KR,TOP,26,38.5%,2.4,1.2,1.8,3.2,8.7,368,50.7%,17.1,272,1.22,0.66,0.21,0.17,-389,-9,-209,7.7%,19.2%,0,-
WooFe,S8,KR,TOP,6,33.3%,2.3,1.2,2,3.5,8.8,349,41.9%,21.8,297,1.28,0.66,0.2,0.21,-578,9,186,0%,16.7%,0,-
kingen,S8,KR,TOP,1,0%,1,1,3,2,8,324,100%,10.8,141,1.52,0.63,0.2,0.32,-735,-23,-847,0%,100%,0,-
Aiming,S8,KR,ADC,41,61%,5.1,3,1.5,4.6,9.8,430,69.9%,25.5,437,1.46,0.59,0.37,0.2,-1,-3,-113,31.7%,12.2%,0,3
Ambition,S8,KR,MID,1,0%,0.5,0,2,1,2.2,204,100%,5.2,45,2.13,1.13,0.32,0.55,-2627,-134,-3840,0%,0%,0,-
Bang,S8,KR,ADC,98,46.9%,7,2.7,1,4.1,10.4,431,70.4%,33.5,613,1.37,0.54,0.31,0.15,-53,-2,46,21.4%,4.1%,0,9
Beyond,S8,KR,JUNGLE,52,36.5%,2.1,1,2.6,4.6,5.1,306,67.2%,8.9,166,2.49,1.24,0.61,0.4,36,1,142,46.2%,7.7%,0,1
Blossom,S8,,JUNGLE,23,52.2%,2.2,1.5,3.1,5.3,5.6,328,68.1%,11.2,200,2.77,1.35,0.64,0.29,-239,-0,-186,43.5%,21.7%,0,2
Cuzz,S8,KR,MID,1,100%,3.5,0,4,14,1,267,73.7%,3.9,106,3.22,1.15,0.62,0.4,-3049,-153,-4100,0%,0%,0,-
Haru,S8,KR,JUNGLE,45,62.2%,3.1,2,2,4.3,6,350,70.1%,12.4,218,2.03,0.79,0.46,0.32,60,-1,108,37.8%,11.1%,0,9
Hoglet,S8,KR,JUNGLE,2,50%,2.4,0.5,2.5,5.5,4.1,256,89.3%,9.5,142,1.71,0.51,0.7,0.38,-588,-12,-952,50%,0%,0,-
KaKAO,S8,KR,JUNGLE,4,0%,0.6,0.3,2.3,1,4.5,259,45.8%,7.1,80,1.39,0.61,0.36,0.41,-1159,-30,-824,0%,0%,0,-
Kuma,S8,KR,JUNGLE,4,25%,2,0.8,3.3,5.8,4.1,262,91.9%,9.9,124,1.97,1.25,0.51,0.48,-617,-12,-500,25%,25%,0,-
Mightybear,S8,KR,JUNGLE,3,0%,2.5,1,2,4,4.9,308,83.3%,13.1,186,2.8,1.42,0.55,0.3,-166,-6,-521,66.7%,0%,0,-
Mowgli,S8,KR,JUNGLE,25,60%,5.8,1.3,1.3,6.2,4.9,316,72.1%,10.2,175,2.18,1.05,0.56,0.52,-110,-5,-43,40%,4%,0,-
OnFleek,S8,KR,JUNGLE,9,66.7%,3.4,2.4,2.2,5.1,5.6,345,71.7%,16.1,283,1.9,0.39,0.54,0.32,426,8,363,44.4%,0%,0,2
Peanut,S8,KR,MID,1,100%,9,1,1,8,0.9,281,60%,6.6,100,2.63,1.53,0.42,0.39,-2085,-114,-2110,0%,0%,0,-
PraY,S8,KR,ADC,92,68.5%,5.1,2.8,1.4,4.5,10.3,438,63.4%,29.5,544,1.34,0.48,0.4,0.11,137,6,206,20.7%,5.4%,0,5
Punch,S8,KR,JUNGLE,6,83.3%,5,1.5,2.2,9.3,4.5,310,75.6%,9.2,172,1.67,0.56,0.49,0.46,-341,-6,-452,33.3%,50%,0,-
Raise,S8,,JUNGLE,40,30%,1.9,0.9,3,4.7,4.6,292,74.9%,10.2,165,2.47,1.35,0.5,0.41,-188,-7,-258,32.5%,20%,0,1
Ruler,S8,KR,ADC,105,57.1%,4.1,2.8,1.5,3.2,10.8,443,70%,32.1,566,1.58,0.44,0.54,0.2,241,7,177,14.3%,17.1%,1,3
Rush,S8,KR,JUNGLE,12,58.3%,2.3,1.5,2.5,4.2,5.5,332,53.2%,11.4,187,1.77,0.57,0.5,0.23,166,2,304,41.7%,0%,0,1
Sangyoon,S8,KR,ADC,87,51.7%,4.5,2.6,1.4,3.6,10.6,438,62.7%,28.5,504,1.15,0.37,0.34,0.1,-88,-3,-62,18.4%,2.3%,0,1
Score,S8,KR,JUNGLE,87,65.5%,4.1,1.8,1.8,5.7,5.3,330,73.6%,11.2,206,2.31,0.88,0.58,0.29,155,2,189,50.6%,6.9%,0,6
SeongHwan,S8,KR,MID,3,66.7%,3.5,0.3,2.7,9,1.9,247,72.2%,4.7,86,2.5,1.23,0.41,0.44,-2580,-113,-3259,66.7%,0%,0,-
Spirit,S8,KR,MID,1,100%,-,0,0,9,1.2,277,100%,6.8,74,2.99,1.54,0.74,0.46,-1788,-136,-3045,0%,0%,0,-
Tarzan,S8,KR,MID,3,33.3%,3.1,0,2.3,7.3,2.3,234,65.1%,5.9,95,2.3,1.53,0.35,0.41,-2208,-120,-3905,0%,0%,0,-
Trick,S8,KR,JUNGLE,77,32.5%,2.5,1.3,2.3,4.5,5,306,73.5%,11.3,175,1.8,0.76,0.4,0.27,-132,-4,45,37.7%,18.2%,0,4
U Jun,S8,,JUNGLE,11,9.1%,2.2,0.8,2.5,4.6,4.6,280,78.9%,10,156,2.37,1.14,0.53,0.36,-75,0,-81,27.3%,9.1%,0,2
UmTi,S8,KR,JUNGLE,85,38.8%,2.8,1.4,2.3,4.9,5.1,309,70.4%,11.8,202,2.63,1.2,0.64,0.33,2,0,-75,41.2%,11.8%,0,4
Viper,S8,KR,ADC,59,66.1%,7.4,2.7,1.1,5.3,10.2,431,69.8%,27.2,474,1.31,0.44,0.34,0.14,-45,1,26,28.8%,5.1%,0,3
Wolf,S8,KR,SUPPORT,38,39.5%,3.1,0.8,2.1,5.5,1.8,248,72.4%,7.3,125,2.35,1.28,0.48,0.43,1,2,37,21.1%,15.8%,0,1
Yondu,S8,,JUNGLE,49,26.5%,2.4,1.5,2.3,4,4.7,291,75.6%,11,173,1.52,0.59,0.37,0.32,-237,-5,-350,36.7%,8.2%,0,-
blank,S8,KR,MID,1,100%,-,0,0,6,0.6,320,100%,3.2,44,2.49,1.29,0.48,0.52,-1272,-134,-1960,100%,0%,0,-
bono,S8,KR,JUNGLE,15,13.3%,1.7,0.9,3.4,4.9,4.7,295,71.4%,12.8,195,2.46,1.09,0.56,0.3,-423,-18,-246,33.3%,6.7%,0,2
ALL IN,S8,KR,MID,6,33.3%,2.5,1.8,2.2,3.5,9.8,383,67.7%,32.9,444,1,0.66,0.2,0.3,-1,8,329,0%,0%,0,1
Bdd,S8,KR,ADC,2,100%,7.7,3,1.5,8.5,8.4,398,64%,30.5,644,0.82,0.49,0.06,0.18,647,4,675,50%,0%,0,2
Chovy,S8,KR,ADC,2,50%,6.7,0.5,1.5,9.5,6.3,312,47.6%,15.4,245,0.72,0.35,0.19,0.08,-1564,-26,-700,0%,50%,0,-
Crown,S8,KR,MID,62,54.8%,2.6,1.6,2.2,4,9.4,384,67.2%,27.7,486,1.33,0.67,0.29,0.28,-43,3,46,21%,12.9%,0,6
Dove,S8,KR,MID,9,66.7%,4.2,3.2,2,5.1,9.4,416,73.4%,23.5,399,1.32,0.57,0.26,0.27,200,3,21,33.3%,11.1%,0,-
Edge,S8,KR,MID,51,25.5%,2.8,2.3,2,3.2,9.3,376,71.7%,27.3,448,1,0.59,0.23,0.2,-112,-2,-56,13.7%,13.7%,0,3
Faker,S8,KR,ADC,1,100%,6,1,1,5,11.1,453,100%,37.6,514,1.25,0.4,0.2,0.08,472,18,1074,100%,0%,0,-
Fly,S8,KR,ADC,1,0%,0.3,0,3,1,4.8,252,100%,16.8,147,0.81,0.45,0.23,0.26,-1830,-61,-926,0%,100%,0,-
Grace,S8,KR,MID,80,37.5%,3.3,2.2,1.8,3.5,9.5,387,65.2%,27.2,455,1.02,0.5,0.2,0.16,-157,2,-119,22.5%,10%,0,7
Ian,S8,KR,MID,101,31.7%,3.2,2.2,1.7,3.4,9.2,381,66.6%,25.2,448,1.27,0.63,0.3,0.23,-15,-2,-180,25.7%,4%,0,6
Justice,S8,KR,MID,9,33.3%,3.9,1.9,1.6,4.1,9,367,61.1%,20.5,369,1.25,0.74,0.39,0.35,-276,-18,-380,33.3%,22.2%,0,-
Kuzan,S8,KR,MID,3,0%,0.6,0,3,1.7,8.8,354,30%,25.1,352,1.23,0.61,0.3,0.21,-472,-6,-694,0%,33.3%,0,-
Lava,S8,KR,ADC,3,66.7%,4.7,3,2.3,8,6.9,360,85.6%,20.1,413,1.22,0.44,0.25,0.15,-597,-30,-111,66.7%,0%,0,1
PawN,S8,KR,MID,32,59.4%,4.2,2.6,1.8,4.7,10,419,75%,26.1,508,1.31,0.63,0.37,0.22,12,-3,-98,34.4%,9.4%,0,4
Pirean,S8,KR,MID,19,52.6%,3.2,2.4,1.8,3.4,9.5,396,66.3%,23.9,419,1.3,0.56,0.25,0.22,71,-1,-57,15.8%,15.8%,0,3
Rather,S8,,ADC,1,0%,0.5,0,2,1,8.4,311,50%,29.8,431,0.86,0.39,0.18,0.11,-514,6,-591,0%,0%,0,-
ShowMaker,S8,KR,MID,6,83.3%,3.6,4,3,6.8,8.9,404,70.5%,26.8,522,1.22,0.53,0.19,0.23,-244,-4,146,16.7%,0%,0,2
Tempt,S8,KR,MID,92,29.3%,3.5,2.3,1.6,3.3,9.7,393,66.6%,30,470,1.17,0.58,0.23,0.21,46,2,-34,20.7%,7.6%,0,17
Ucal,S8,KR,MID,67,67.2%,4.1,2.6,1.7,4.1,9.7,412,63%,24.3,440,1.12,0.53,0.19,0.2,127,0,38,28.4%,3%,0,12
kurO,S8,KR,ADC,1,100%,-,0,0,7,9.1,368,77.8%,27.2,297,1.25,0.41,0.46,0.1,-333,-6,-1052,0%,0%,0,-
Clever,S8,KR,ADC,1,0%,4,3,2,5,9.3,426,80%,28.6,421,1.25,0.5,0.1,0.05,54,1,-726,0%,0%,0,-
Deft,S8,KR,ADC,99,64.6%,4.5,2.6,1.5,4.2,10.3,436,63.3%,31.9,597,1.35,0.51,0.37,0.15,258,3,136,23.2%,6.1%,0,3
Ghost,S8,KR,ADC,86,31.4%,2.7,2,1.9,3.1,9.7,396,60.6%,26.3,419,1.22,0.5,0.35,0.18,-303,-9,-202,20.9%,10.5%,0,1
Hollow,S8,KR,ADC,9,66.7%,2.5,2.4,2.7,4.3,10.6,435,69.4%,27.8,466,1.35,0.31,0.42,0.1,-87,1,351,22.2%,11.1%,0,-
HyBrid,S8,KR,ADC,6,33.3%,2.9,3.5,2.2,2.8,10.9,427,72.9%,26.4,387,1.06,0.39,0.32,0.04,-746,-23,-610,50%,16.7%,0,3
Kramer,S8,KR,ADC,64,60.9%,5.9,2.7,1.1,4,10.7,447,72.1%,28.8,490,1.61,0.57,0.51,0.19,76,-4,-9,37.5%,3.1%,0,5
Leo,S8,KR,ADC,3,33.3%,4.8,1.7,1.3,4.7,9.2,405,70.6%,28.3,475,1.11,0.55,0.22,0.1,-132,-9,207,0%,0%,0,2
Nuclear,S8,KR,ADC,6,83.3%,9.4,5.5,1.2,5.5,10.3,460,71.7%,27.8,548,1.36,0.47,0.35,0.2,-116,-7,-452,0%,0%,0,-
Pilot,S8,KR,ADC,84,36.9%,4.2,2.6,1.4,3.4,10.5,424,70.5%,31,543,1.29,0.42,0.33,0.1,-116,-0,-107,15.5%,7.1%,1,3
Prince,S8,KR,ADC,6,0%,1.1,0.7,3.5,3.3,8.7,362,51.5%,25.6,379,1.03,0.54,0.19,0.19,119,5,175,33.3%,0%,0,-
Ssol,S8,KR,ADC,51,25.5%,3,2.1,1.8,3.4,10.2,406,69.5%,32.3,536,1.33,0.45,0.48,0.15,-67,-3,-234,11.8%,9.8%,0,2
Teddy,S8,KR,ADC,89,37.1%,4.2,3.1,1.5,3.2,11.1,439,68.8%,33,584,1.32,0.43,0.43,0.13,19,6,48,21.3%,6.7%,2,6
Aegis,S8,KR,SUPPORT,1,0%,5,0,2,10,1.7,218,90.9%,6.4,104,1.86,1.23,0.2,0.5,-366,15,-424,0%,0%,0,-
Asper,S8,KR,SUPPORT,1,0%,3,1,2,5,2,263,60%,4.4,65,3.31,1.98,0.6,0.7,-579,20,146,0%,0%,0,-
CoreJJ,S8,KR,SUPPORT,106,56.6%,3.8,0.5,1.7,5.7,1.7,248,75.3%,7.3,124,2.56,1.49,0.42,0.49,-11,-2,-56,18.9%,8.5%,0,1
Effort,S8,KR,SUPPORT,64,51.6%,3.3,0.9,2.2,6.3,1.8,258,71.9%,7.2,130,2.65,1.54,0.43,0.53,-11,-1,-135,25%,9.4%,0,1
GorillA,S8,KR,SUPPORT,94,69.1%,3.7,0.6,2,6.6,1.7,259,63%,7.3,131,2.41,1.5,0.39,0.49,-3,-0,30,25.5%,11.7%,0,3
Hoit,S8,KR,SUPPORT,6,83.3%,7.7,1.2,1.5,10.3,1.3,253,74.9%,7.5,149,2.65,1.41,0.44,0.46,-62,-5,-18,16.7%,0%,0,-
IgNar,S8,KR,SUPPORT,92,29.3%,3.4,0.5,1.6,4.9,1.9,245,63.5%,7.2,111,2.68,1.67,0.46,0.56,-43,-1,-126,23.9%,9.8%,0,3
Joker,S8,KR,SUPPORT,9,66.7%,2.4,0.6,3.2,7.2,1.8,263,74.8%,9,156,2.97,1.96,0.4,0.61,69,3,-297,44.4%,11.1%,0,-
KeY,S8,KR,SUPPORT,90,52.2%,3.5,0.5,1.9,6.1,2,260,68.8%,7.4,126,2.64,1.52,0.44,0.5,71,2,7,21.1%,10%,0,1
Lehends,S8,KR,SUPPORT,62,64.5%,5.1,1,1.6,7.1,1.7,256,70.6%,10.7,182,2.47,1.42,0.4,0.46,108,-0,210,29%,19.4%,0,1
Luci,S8,KR,SUPPORT,5,40%,3,0.4,1.8,5,1.5,221,67.9%,9.7,136,2.47,1.8,0.27,0.54,-228,3,-748,40%,0%,0,-
Mata,S8,KR,SUPPORT,99,64.6%,4.4,0.8,1.6,6.3,1.9,256,66.8%,6.9,125,2.71,1.76,0.45,0.64,13,1,-99,25.3%,9.1%,0,2
Motive,S8,KR,SUPPORT,8,25%,1.7,0.6,2.9,4.1,2.3,242,81.8%,14.4,223,1.67,0.98,0.22,0.31,24,12,260,25%,25%,0,-
Nova,S8,KR,SUPPORT,45,31.1%,2.3,0.4,2,4,1.6,224,55.7%,7.7,115,2.69,1.64,0.48,0.65,-146,-1,45,17.8%,11.1%,0,-
Secret,S8,KR,SUPPORT,51,25.5%,2.1,0.8,2.5,4.3,1.9,243,67.3%,7.6,119,2.17,1.49,0.34,0.47,-126,-2,48,11.8%,13.7%,0,-
TusiN,S8,KR,SUPPORT,106,61.3%,3.8,0.5,1.9,6.6,2,262,71.4%,7.7,128,2.61,1.73,0.39,0.55,56,0,9,36.8%,8.5%,0,-
Wraith,S8,KR,SUPPORT,44,43.2%,3.7,0.5,2,7,1.6,245,66.3%,5.9,107,2.23,1.39,0.32,0.38,-121,-2,-152,27.3%,6.8%,0,1
CheonGo,S9,,MID,17,5.9%,1.1,1.5,3.2,2.1,8.3,343,63.4%,21,308,1.2,0.56,0.34,0.22,-633,-14,-369,17.6%,5.9%,0,2
CuVee,S9,KR,TOP,66,47%,2.4,2,2.3,3.4,8.3,380,57.4%,24,367,1.12,0.51,0.22,0.22,-250,-7,-132,10.6%,13.6%,0,17
Doran,S9,KR,TOP,23,60.9%,2.6,2.7,2.3,3.1,9.3,420,55.2%,25.4,416,1.03,0.49,0.2,0.16,276,4,96,30.4%,30.4%,0,7
Flame,S9,KR,TOP,14,42.9%,2.8,2.6,2.2,3.6,8.6,392,57.4%,25,410,0.89,0.45,0.18,0.14,-163,5,-112,14.3%,21.4%,0,-
Grace,S9,KR,MID,79,17.7%,2.2,1.6,2.4,3.7,8.5,358,63%,25.3,370,0.95,0.49,0.2,0.23,-318,-5,-178,21.5%,8.9%,0,13
Ikssu,S9,KR,TOP,7,71.4%,4.2,3,1.9,4.7,6.8,358,61.2%,25,416,1.06,0.48,0.25,0.17,335,-0,221,28.6%,0%,0,2
Jisu,S9,KR,TOP,17,29.4%,2.4,2.2,2.4,3.6,8.1,376,55.1%,21.7,386,0.94,0.4,0.22,0.15,-419,-11,-204,17.6%,0%,0,4
Khan,S9,KR,TOP,106,69.8%,3.5,2.8,2,4.3,8.7,407,58.3%,24.8,439,1.14,0.57,0.2,0.25,71,2,36,26.4%,15.1%,0,29
Kiin,S9,KR,TOP,96,43.8%,2.6,2.5,2.5,3.9,8.6,392,59.1%,25.2,413,1.12,0.52,0.24,0.21,274,8,188,20.8%,11.5%,0,30
Lindarang,S9,KR,TOP,73,20.5%,1.6,1.5,2.5,2.7,8,355,53.7%,23.7,345,0.94,0.52,0.14,0.22,-249,-7,-243,12.3%,15.1%,0,10
Nuguri,S9,KR,TOP,86,60.5%,2.9,3.5,2.8,4.7,9.4,438,63.7%,30.2,550,1.13,0.49,0.26,0.15,267,8,78,16.3%,26.7%,0,38
Rascal,S9,KR,TOP,104,58.7%,3,2.7,2.5,4.7,8.3,392,59.5%,21.3,370,1.07,0.55,0.21,0.22,-281,-8,-136,26.9%,12.5%,0,27
Riris,S9,,TOP,1,0%,1.5,1,4,5,8.1,370,75%,19.4,352,0.96,0.37,0.34,0.06,898,8,547,100%,0%,0,-
Roach,S9,KR,MID,7,57.1%,4.2,1.7,1.4,4.3,8.9,385,61.1%,18.7,279,1.15,0.49,0.25,0.25,-333,-7,220,14.3%,0%,0,-
Smeb,S9,KR,TOP,54,31.5%,2.1,2.3,2.6,3.3,8.4,377,54.7%,24.4,385,0.94,0.48,0.16,0.16,-230,-6,-260,13%,18.5%,0,13
SoHwan,S9,KR,TOP,44,47.7%,3.1,2.3,1.9,3.7,8.1,379,56%,20.9,327,1.04,0.4,0.22,0.17,352,5,151,20.5%,4.5%,0,8
SoaR,S9,KR,TOP,6,33.3%,1.7,1.8,3,3.3,7.5,344,66.9%,23.3,336,0.89,0.33,0.2,0.14,-254,2,-81,0%,33.3%,0,1
Summit,S9,KR,TOP,98,58.2%,2.7,2.4,2.4,4.2,8.8,399,62.6%,26.2,451,1.09,0.5,0.24,0.18,240,9,228,20.4%,17.3%,0,22
Sw0rd,S9,KR,TOP,65,72.3%,3.6,2.4,1.8,4.1,8.8,403,52.5%,21,356,1.07,0.5,0.23,0.17,192,2,245,23.1%,4.6%,0,11
TaNa,S9,KR,TOP,19,0%,1.5,1.5,3,2.9,8.2,355,62.9%,22,328,0.96,0.53,0.16,0.24,-184,-4,-314,10.5%,26.3%,0,3
Thal,S9,KR,TOP,49,42.9%,2.8,1.8,2,3.9,8.4,377,60.5%,22.8,346,1.08,0.49,0.23,0.19,-339,-6,-235,18.4%,16.3%,0,9
Wizer,S9,KR,TOP,1,0%,1,0,3,3,9.8,375,30%,23.5,452,1.28,0.46,0.36,0.19,-787,2,-979,0%,0%,0,-
kingen,S9,KR,TOP,37,45.9%,3.2,2.6,2.1,4.2,8.6,398,58.7%,23.8,379,1.07,0.42,0.22,0.19,-21,-5,58,16.2%,13.5%,0,7
Canyon,S9,KR,JUNGLE,85,57.6%,3.5,2,2.6,7.1,5,325,71.2%,14.5,270,1.76,0.72,0.44,0.42,-124,1,-155,27.1%,11.8%,0,11
Clid,S9,KR,JUNGLE,102,71.6%,5.2,2.4,1.7,6.5,5.2,337,73%,12.7,228,2.34,1.05,0.56,0.38,134,1,179,52%,6.9%,0,16
Crush,S9,KR,JUNGLE,1,0%,1,1,5,4,4.7,283,50%,9.1,175,1.67,0.9,0.44,0.36,-1243,-1,86,0%,0%,0,-
Cuzz,S9,KR,JUNGLE,104,58.7%,3.8,2.3,2.2,6.1,5.4,339,68.4%,15.9,277,2.27,0.9,0.59,0.37,149,5,242,38.5%,6.7%,0,6
Dread,S9,KR,JUNGLE,91,46.2%,2.5,2.3,3,5.4,4.9,319,68.3%,13.2,219,1.92,0.83,0.52,0.39,2,-3,-166,38.5%,7.7%,0,8
Haru,S9,KR,JUNGLE,4,25%,4.2,2.3,1.5,4,5.1,308,84.1%,15.1,221,1.85,0.7,0.45,0.34,-128,-4,-254,50%,0%,0,-
Jin0,S9,KR,JUNGLE,6,16.7%,2,2.2,3.5,5,4.7,299,74.3%,15.6,277,2.06,0.86,0.5,0.29,-415,5,-225,50%,0%,0,-
KaKAO,S9,KR,JUNGLE,7,71.4%,13.6,4.3,0.7,5.4,6.1,375,80%,24,423,1.86,0.87,0.35,0.32,567,12,510,57.1%,0%,0,4
Malrang,S9,KR,JUNGLE,69,10.1%,2.5,1.8,2.1,3.5,4.6,292,74%,14.3,210,2.05,0.97,0.53,0.45,-324,-9,-400,36.2%,7.2%,0,6
Mightybear,S9,KR,JUNGLE,2,0%,2.5,1.5,2,3.5,4.5,285,77.5%,11,178,1.37,0.6,0.42,0.37,356,4,421,50%,0%,0,-
MooJin,S9,KR,JUNGLE,8,25%,2.7,0.9,2.4,5.6,3.9,277,89.5%,11.3,150,1.84,0.78,0.42,0.5,-448,-14,-541,75%,0%,0,1
OnFleek,S9,KR,JUNGLE,98,58.2%,3.2,2.1,2.2,5.1,5.5,335,69.6%,13.4,230,2.06,0.71,0.63,0.36,8,4,2,34.7%,9.2%,0,13
