Player,Season,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
SeongHwan,S6,KR,JUNGLE,8,12.5%,2.6,1.9,2.5,4.6,3.8,319,72.8%,18.3,309,-,0.56,0.64,0.17,-482,-19,-841,37.5%,12.5%,0,-
Winged,S6,,JUNGLE,98,48%,3.9,1.8,1.8,5.3,4.8,350,69.5%,17,310,-,0.73,0.65,0.2,45,0,26,37.8%,6.1%,0,4
bengi,S6,KR,JUNGLE,31,61.3%,3.4,1.6,2.3,6.2,4,334,67%,13.4,294,-,0.79,0.55,0.11,-358,-7,-512,38.7%,16.1%,0,2
blank,S6,KR,JUNGLE,67,68.7%,4.1,2.6,2.2,6.6,4.4,365,68.2%,15.8,343,-,0.91,0.6,0.18,-134,-2,-290,31.3%,20.9%,0,7
Bdd,S6,KR,MID,52,30.8%,3.3,3.1,2.4,4.9,8.1,369,78.9%,29.1,537,-,0.52,0.15,0.08,-60,-0,9,9.6%,17.3%,0,9
Blanc,S6,,MID,8,50%,2.9,1.4,1.5,3,9,389,58%,29.7,502,-,0.49,0.16,0.11,-4,-9,-280,12.5%,12.5%,0,-
CoCo,S6,,MID,57,36.8%,3.1,2.7,2.3,4.3,8.6,386,71.8%,29.5,578,-,0.56,0.23,0.1,26,1,3,33.3%,8.8%,0,12
Crown,S6,KR,MID,98,55.1%,3.4,3.1,2.2,4.3,9.1,406,69%,30.2,601,-,0.55,0.21,0.12,86,5,127,20.4%,15.3%,1,24
Cry,S6,,MID,12,58.3%,3.2,2.3,2.3,5.3,8.3,372,65.7%,24.6,516,-,0.51,0.21,0.1,-241,-7,-207,25%,0%,0,-
Edge,S6,KR,MID,53,26.4%,3.1,2.3,2,3.8,8.7,376,70.7%,29.7,544,-,0.44,0.18,0.11,-47,1,0,22.6%,9.4%,0,9
Faker,S6,KR,MID,97,67%,4.2,3.5,2.1,5.4,8.7,416,68.9%,29.6,646,-,0.53,0.23,0.09,135,6,147,22.7%,8.2%,0,34
Fly,S6,KR,MID,108,63%,4.6,2.8,2,6.6,8.2,383,68.6%,26.1,538,-,0.5,0.2,0.14,-92,-4,-13,30.6%,7.4%,0,14
Frozen,S6,KR,MID,27,59.3%,4.2,2.1,1.7,4.9,8.4,395,63.3%,28.4,554,-,0.5,0.18,0.11,91,-3,73,18.5%,14.8%,0,4
Ian,S6,KR,MID,45,46.7%,4,3.2,1.9,4.3,7.8,373,64.9%,29.4,604,-,0.48,0.21,0.1,-73,-2,-103,22.2%,11.1%,0,5
Kuzan,S6,KR,MID,90,47.8%,3.9,2.8,1.9,4.5,8.5,377,71%,27.8,515,-,0.6,0.25,0.1,91,8,115,28.9%,6.7%,0,20
Mickey,S6,KR,MID,102,47.1%,3.1,2.7,2.6,5.2,8.8,401,69.9%,28.2,559,-,0.54,0.2,0.11,93,-0,-137,26.5%,10.8%,0,16
SaSin,S6,,MID,49,20.4%,2,1.9,2.6,3.4,8.5,366,76.4%,31.6,540,-,0.57,0.28,0.13,-269,-5,-98,22.4%,24.5%,0,3
Scout,S6,KR,MID,1,0%,1,1,2,1,8.1,375,100%,25.3,379,-,0.65,0.3,0.1,-683,-23,-403,0%,0%,0,1
Sky,S6,KR,MID,45,37.8%,2.6,2.1,2.4,4.3,8.6,379,68.1%,27.6,498,-,0.5,0.18,0.1,-137,-5,-172,15.6%,17.8%,0,7
Tempt,S6,KR,MID,58,43.1%,3.2,2.7,2,3.8,8.4,374,66.7%,28.7,527,-,0.49,0.15,0.12,-93,-3,-86,24.1%,8.6%,0,7
kurO,S6,KR,MID,78,78.2%,6.2,3.9,1.7,6.7,8.2,417,68.7%,26.1,584,-,0.56,0.22,0.11,45,-5,41,34.6%,6.4%,0,14
Arrow,S6,KR,ADC,108,63%,5.6,3.7,1.7,5.6,8.7,406,68.6%,25.7,534,-,0.52,0.29,0.12,48,-2,14,17.6%,3.7%,0,5
Bang,S6,KR,ADC,98,66.3%,6,3.7,1.5,5.2,9.4,431,68.1%,30.2,665,-,0.5,0.22,0.06,124,6,201,21.4%,8.2%,1,5
CoreJJ,S6,KR,SUPPORT,11,54.5%,3.7,0.3,1.9,6.8,1.1,262,59.4%,10.2,198,-,1.43,0.45,0.31,-106,-1,364,18.2%,0%,0,-
Cpt Jack,S6,,ADC,28,60.7%,3.7,2.7,1.7,3.7,9.2,412,58.3%,29.3,561,-,0.46,0.28,0.06,68,3,75,17.9%,0%,0,-
Emperor,S6,KR,ADC,8,25%,2.3,2.4,2.8,3.9,8.4,375,66%,27.1,502,-,0.39,0.25,0.07,-333,-5,-241,12.5%,12.5%,0,1
Fury,S6,KR,ADC,48,37.5%,3.9,2.7,1.7,4,8.7,393,65.2%,26.7,538,-,0.46,0.3,0.11,45,-2,-44,25%,2.1%,0,1
Ghost,S6,KR,ADC,2,0%,1.2,0,2.5,3,8.3,337,42.9%,22,301,-,0.43,0.16,0.09,-572,-11,-862,0%,0%,0,-
Kramer,S6,KR,ADC,95,34.7%,4.3,3.1,1.7,4.3,9.3,407,73.9%,30.4,574,-,0.54,0.33,0.08,-117,-3,43,14.7%,6.3%,0,7
LokeN,S6,KR,ADC,58,43.1%,3.8,2.8,1.8,4,9.1,399,72.3%,25.9,476,-,0.36,0.24,0.09,25,-0,192,31%,5.2%,0,5
MaHa,S6,,ADC,45,46.7%,3.3,2.6,2.2,4.9,8.6,394,65.9%,25.2,516,-,0.47,0.21,0.08,-365,-8,-412,15.6%,4.4%,0,3
Nuclear,S6,KR,ADC,49,20.4%,2.8,2.1,1.8,3,9.2,384,68.9%,24,410,-,0.41,0.34,0.11,-18,1,-192,22.4%,6.1%,0,5
Pilot,S6,KR,ADC,98,48%,4.7,3.1,1.5,4.1,8.9,397,70.5%,26.6,496,-,0.39,0.23,0.05,-72,-4,-198,19.4%,4.1%,1,1
