Team,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,FOS%,DRAPG,DRA%,VGPG,HER%,ATAKHAN%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
Griffin,S9,KR,88,69.3%,1.78,1918,210,32:42,12.2,6.9,7.2,3.7,67.0,71.6,-,2.33,57.7,-,54.0,-,0.72,0.4,1770,-,0.72,67.3,37.0,1687,3.8,1.38,1.83
Hanwha Life eSports,S9,KR,93,45.2%,0.93,1736,-61,33:23,9.7,10.5,5.2,6.3,48.4,49.5,-,1.88,42.0,-,53.3,-,0.71,-0.1,-268,-,0.65,46.3,32.9,1559,3.9,1.53,1.78
Jin Air Green Wings,S9,KR,96,15.6%,0.61,1648,-261,34:23,7.8,12.6,3.0,8.5,43.8,41.7,-,1.36,28.6,-,44.8,-,0.55,-0.3,-1180,-,0.32,23.7,32.4,1491,4.1,1.65,1.67
Kingzone DragonX,S9,KR,104,58.7%,1.14,1829,59,33:31,12.2,10.7,6.3,5.4,52.9,56.7,-,2.32,54.3,-,56.9,-,0.81,0.1,55,-,0.72,56.1,33.7,1754,4.2,1.61,1.82
KT Rolster,S9,KR,91,37.4%,0.83,1738,-90,34:26,10.3,12.3,5.2,6.7,49.5,38.5,-,1.90,41.8,-,44.4,-,0.60,-0.1,-350,-,0.59,43.0,33.1,1583,3.8,1.38,1.72
Sandbox Gaming,S9,KR,99,57.6%,0.92,1816,38,33:58,10.5,11.4,6.6,4.8,45.5,61.6,-,2.69,60.4,-,51.5,-,0.91,0.1,175,-,0.78,56.9,34.6,1731,3.9,1.48,1.94
SK Telecom T1,S9,KR,106,69.8%,1.44,1869,133,34:30,12.1,8.3,7.3,4.4,57.5,48.1,-,2.82,61.5,-,53.8,-,0.89,0.0,297,-,0.75,59.2,35.4,1774,4.4,1.54,1.79
Team Dynamics,S9,KR,6,16.7%,0.69,1631,-155,35:48,9.8,14.2,3.2,7.2,50.0,16.7,-,2.33,48.3,-,33.3,-,1.00,-0.5,-2012,-,0.33,37.5,30.3,1701,3.7,1.18,1.59
VSG,S9,KR,7,28.6%,0.60,1671,-185,32:46,8.1,13.6,3.9,7.7,28.6,57.1,-,1.57,35.2,-,71.4,-,0.86,0.0,-214,-,0.14,16.7,33.0,1517,3.5,1.27,1.63
Afreeca Freecs,S10,KR,100,46.0%,0.86,1704,-70,33:40,11.2,13.0,5.1,6.2,53.0,41.0,-,2.20,45.5,-,44.4,-,0.80,-0.2,-600,-,0.54,45.8,32.1,1784,3.5,1.42,1.85
DAMWON Gaming,S10,KR,93,67.7%,1.38,1869,187,31:21,13.6,9.9,7.6,3.9,53.8,67.7,-,2.51,56.3,-,68.3,-,0.91,0.6,1341,-,0.71,62.4,34.1,1972,3.6,1.37,1.72
DragonX,S10,KR,108,64.8%,1.22,1837,135,32:36,12.9,10.5,6.7,4.6,40.7,50.9,-,2.49,55.3,-,46.7,-,0.90,0.0,998,-,0.71,61.6,34.7,2009,3.6,1.40,1.81
ESC Shane,S10,KR,8,25.0%,0.52,1584,-234,30:16,7.3,14.0,2.8,7.4,25.0,12.5,-,2.38,51.3,-,56.3,-,1.50,-1.1,-2126,-,0.50,28.6,30.6,1567,3.0,1.23,1.38
Gen.G eSports,S10,KR,101,69.3%,1.56,1838,164,32:16,14.1,9.0,7.4,4.1,65.3,62.4,-,2.97,65.5,-,61.1,-,1.17,0.3,1162,-,0.71,66.7,33.6,1896,3.8,1.50,1.81
Griffin,S10,KR,50,34.0%,0.81,1630,-138,34:03,8.7,10.7,3.8,7.3,54.0,34.0,-,1.66,34.0,-,34.0,-,0.74,-0.4,-761,-,0.28,25.0,32.0,1527,3.9,1.61,1.68
Hanwha Life eSports,S10,KR,87,28.7%,0.66,1653,-193,32:09,9.3,14.1,3.8,7.5,44.8,40.2,-,1.98,40.0,-,44.3,-,0.95,-0.3,-1121,-,0.36,33.1,31.8,1688,3.8,1.70,1.60
KT Rolster,S10,KR,95,45.3%,0.94,1729,-23,32:45,10.1,10.8,5.7,5.9,47.4,55.8,-,2.47,52.1,-,52.6,-,1.15,0.2,10,-,0.57,46.2,32.8,1779,3.7,1.53,1.81
Sandbox Gaming,S10,KR,93,40.9%,0.86,1705,-66,32:50,10.2,11.8,4.9,6.1,43.0,49.5,-,2.20,46.0,-,47.8,-,0.85,-0.1,-353,-,0.45,42.9,32.8,1714,3.7,1.60,1.86
SeolHaeOne Prince,S10,KR,84,27.4%,0.60,1635,-217,32:48,9.8,16.2,3.9,7.5,50.0,39.3,-,1.92,37.2,-,42.9,-,0.65,-0.4,-1537,-,0.49,36.3,31.1,1746,3.6,1.40,1.69
T1,S10,KR,103,66.0%,1.54,1826,148,33:23,12.9,8.3,7.0,4.7,57.3,51.5,-,2.57,55.4,-,49.5,-,1.07,0.2,691,-,0.71,64.4,34.6,1811,4.0,1.44,1.83
Team Dynamics,S10,KR,48,41.7%,0.84,1696,-97,32:10,11.1,13.2,4.8,5.9,33.3,43.8,-,2.42,51.7,-,49.0,-,1.00,-0.1,-927,-,0.63,44.3,32.0,1810,3.5,1.35,1.69
Afreeca Freecs,S11,KR,92,45.7%,0.96,1752,-30,34:26,11.8,12.3,5.7,6.2,63.0,56.5,-,2.54,53.5,-,59.8,-,0.95,0.1,288,-,0.62,45.3,33.2,1859,3.8,1.51,1.90
DRX,S11,KR,94,33.0%,0.73,1729,-118,33:19,10.0,13.7,5.0,7.1,40.4,39.4,-,1.82,36.4,-,37.8,-,0.57,-0.2,-626,-,0.49,37.9,34.1,1834,3.6,1.37,1.73
DWG KIA,S11,KR,99,74.7%,1.30,1862,163,33:03,14.9,11.4,7.7,4.2,48.5,59.6,-,2.74,61.3,-,58.6,-,0.76,0.3,672,-,1.13,76.3,33.2,2144,3.8,1.51,1.78
Fredit BRION,S11,KR,87,36.8%,0.86,1708,-112,33:01,9.7,11.3,4.5,7.0,47.1,29.9,-,2.37,50.0,-,34.5,-,1.00,-0.4,-933,-,0.52,37.9,33.7,1693,4.0,1.62,1.95
Gen.G eSports,S11,KR,100,60.0%,1.21,1815,95,33:27,12.6,10.3,6.6,5.3,60.0,53.0,-,2.60,56.8,-,49.0,-,1.02,0.0,299,-,0.81,62.0,34.3,1797,4.0,1.62,1.96
Hanwha Life eSports,S11,KR,107,50.5%,1.06,1787,17,32:52,13.0,12.2,5.8,5.9,47.7,53.3,-,2.30,50.0,-,48.6,-,0.79,0.1,40,-,0.64,48.5,33.7,1984,3.6,1.53,1.87
KT Rolster,S11,KR,91,42.9%,0.93,1753,-62,33:20,11.5,12.3,5.0,6.3,47.3,37.4,-,1.89,40.2,-,43.4,-,0.67,-0.4,-425,-,0.63,42.0,34.0,1777,3.7,1.56,1.76
Liiv SANDBOX,S11,KR,94,44.7%,0.84,1766,-50,33:08,11.1,13.2,5.8,6.3,43.6,56.4,-,2.27,49.8,-,59.0,-,0.79,0.1,-134,-,0.60,43.5,33.8,1796,3.7,1.57,1.85
Nongshim RedForce,S11,KR,103,48.5%,0.96,1754,-26,33:41,12.2,12.7,5.8,6.0,39.8,43.7,-,2.39,49.8,-,48.1,-,0.86,-0.1,-599,-,0.67,47.7,32.9,1963,3.7,1.32,1.83
T1,S11,KR,111,58.6%,1.16,1817,83,33:53,12.8,10.9,6.9,5.4,61.3,65.8,-,2.29,50.7,-,58.6,-,0.76,0.4,1132,-,0.78,55.0,33.7,1872,3.9,1.59,1.77
DRX,S12,KR,105,50.5%,0.94,1768,-12,34:24,11.5,12.2,6.1,6.0,45.7,51.4,-,2.20,43.2,-,58.1,-,0.63,-0.1,-146,3.95,0.81,55.8,32.7,2026,3.4,1.53,1.80
DWG KIA,S12,KR,105,61.0%,1.25,1796,71,34:34,12.4,9.9,7.0,5.5,51.4,58.1,-,2.71,53.5,-,55.2,-,0.75,0.2,701,5.11,0.81,56.0,32.3,1970,3.6,1.50,1.65
Fredit BRION,S12,KR,89,36.0%,0.82,1732,-88,34:31,9.8,12.0,5.2,6.9,52.8,33.7,-,2.39,47.0,-,44.9,-,0.96,-0.3,-597,3.62,0.70,43.7,33.0,1702,3.7,1.60,1.96
Gen.G eSports,S12,KR,96,76.0%,1.49,1917,229,32:15,14.3,9.5,7.9,4.1,55.2,64.6,-,2.78,62.9,-,40.1,-,0.99,0.3,1081,4.98,0.85,67.8,34.7,2150,3.6,1.41,1.88
Hanwha Life eSports,S12,KR,89,27.0%,0.65,1683,-174,33:28,8.6,13.3,4.2,7.8,39.3,38.2,-,1.75,36.3,-,55.1,-,0.63,-0.2,-867,3.88,0.51,31.0,32.1,1687,3.3,1.45,1.72
KT Rolster,S12,KR,98,49.0%,1.06,1799,20,34:02,12.2,11.5,6.0,6.3,54.1,45.9,-,2.91,59.5,-,48.0,-,1.09,0.0,51,4.38,0.71,47.5,33.3,1933,3.7,1.47,1.85
Kwangdong Freecs,S12,KR,92,39.1%,0.94,1708,-84,34:41,10.5,11.1,5.5,6.7,43.5,46.7,-,2.21,43.8,-,44.0,-,0.72,-0.1,-525,3.45,0.57,44.9,32.1,1757,3.8,1.68,1.84
Liiv SANDBOX,S12,KR,99,45.5%,0.85,1744,-90,31:46,11.0,12.9,5.3,6.5,46.5,34.3,-,2.41,53.1,-,37.4,-,1.09,-0.2,-1172,3.31,0.65,47.0,32.5,1878,3.3,1.28,1.63
Nongshim RedForce,S12,KR,87,34.5%,0.83,1726,-113,34:08,10.7,13.0,5.1,7.3,52.9,51.7,-,2.25,45.2,-,48.9,-,0.86,0.0,-139,4.45,0.48,32.0,32.4,1831,3.6,1.60,1.59
T1,S12,KR,102,74.5%,1.33,1898,193,32:40,13.9,10.5,7.8,4.1,57.8,71.6,-,2.36,53.3,-,66.2,-,0.68,0.4,1368,6.11,0.97,69.8,33.4,2079,3.6,1.39,1.63
BRION,S13,KR,89,31.5%,0.74,1716,-147,32:47,8.3,11.3,4.4,7.4,50.6,40.4,-,1.91,39.7,-,49.4,-,0.83,-0.2,-660,3.06,0.60,40.6,33.5,1850,3.0,1.48,1.85
Dplus KIA,S13,KR,95,61.1%,1.37,1838,94,31:50,12.4,9.1,6.4,4.8,58.9,52.6,-,2.76,62.4,-,53.7,-,1.17,0.1,883,4.64,0.81,59.6,33.7,2238,3.4,1.53,1.67
DRX,S13,KR,93,30.1%,0.62,1697,-196,31:02,8.8,14.1,4.1,7.3,33.3,35.5,-,1.71,37.9,-,44.1,-,0.67,-0.1,-1321,3.74,0.52,32.0,32.2,1989,3.0,1.43,1.73
